일시,평균습도(%rh),최저습도(%rh)
2015-12-24,78.8,61
2015-12-25,54.1,26
2015-12-26,85.1,52
2015-12-27,48.3,25
2015-12-28,55.3,32
2015-12-29,57.6,41
2015-12-30,77.9,56
2015-12-31,88,72
2016-01-01,83.9,68
2016-01-02,93.1,80
2016-01-03,98,98
2016-01-04,72.9,38
2016-01-05,46.3,30
2016-01-06,64.9,51
2016-01-07,61.6,43
2016-01-08,64.1,37
2016-01-09,70.5,57
2016-01-10,53.6,29
2016-01-11,52.4,34
2016-01-12,59.3,40
2016-01-13,74.3,49
2016-01-14,65.6,37
2016-01-15,61.1,44
2016-01-16,77.1,63
2016-01-17,79.6,64
2016-01-18,73.5,47
2016-01-19,61.4,49
2016-01-20,59.9,49
2016-01-21,61,45
2016-01-22,49.8,31
2016-01-23,57,42
2016-01-24,60.1,46
2016-01-25,61.5,39
2016-01-26,80.5,59
2016-01-27,71.9,53
2016-01-28,63.3,35
2016-01-29,55,39
2016-01-30,77,59
2016-01-31,52.8,36
2016-02-01,47.1,35
2016-02-02,51.4,36
2016-02-03,58.8,40
2016-02-04,67.8,34
2016-02-05,56.4,26
2016-02-06,53.4,40
2016-02-07,61.6,40
2016-02-08,82.5,65
2016-02-09,64.9,40
2016-02-10,51.5,37
2016-02-11,42.9,25
2016-02-12,98,86
2016-02-13,98,98
2016-02-14,80.4,64
2016-02-15,61.8,41
2016-02-16,77.8,59
2016-02-17,68.5,43
2016-02-18,89.4,75
2016-02-19,71.4,39
2016-02-20,54.1,34
2016-02-21,47,32
2016-02-22,46.9,29
2016-02-23,69.9,35
2016-02-24,55.4,38
2016-02-25,69.4,52
2016-02-26,63,27
2016-02-27,84.4,56
2016-02-28,79.6,54
2016-02-29,56,43
2016-03-01,59.8,39
2016-03-02,91,76
2016-03-03,83.9,66
2016-03-04,75.8,53
2016-03-05,97.6,94
2016-03-06,72.6,32
2016-03-07,60.4,36
2016-03-08,53.6,34
2016-03-09,49.4,29
2016-03-10,48.3,31
2016-03-11,55.5,33
2016-03-12,75.9,63
2016-03-13,84.8,68
2016-03-14,70.4,41
2016-03-15,62.4,37
2016-03-16,71.1,29
2016-03-17,59.4,35
2016-03-18,70.5,45
2016-03-19,76.8,47
2016-03-20,79.3,47
2016-03-21,84,50
2016-03-22,90.9,58
2016-03-23,63.9,33
2016-03-24,47.6,32
2016-03-25,69.5,37
2016-03-26,79.1,43
2016-03-27,81.1,45
2016-03-28,71.1,29
2016-03-29,83.9,60
